"topic_id","name","description"
"1","Python","Синтаксис, типы данных, ООП, работа с файлами"
"2","NumPy","Работа с массивами: создание, индексация, трансформации, операции над массивами"
"3","Pandas","Работа с таблицами: чтение и запись, фильтрация, группировка, агрегации"
"4","EDA (Exploratory Data Analysis)","Методы анализа данных до моделирования: визуализация, выбросы, корреляции и др."
"5","Classical ML","Базовые алгоритмы машинного обучения: регрессия, классификация, ансамбли, кластеризация"
"6","Time Series","Анализ временных рядов: тренды, сезонность, ARIMA, LSTM"
"7","RECSys (Рекомендательные системы)","Алгоритмы рекомендаций: content-based, collaborative filtering, implicit/explicit feedback"
"8","Natural Language Processing (NLP)","Токенизация, TF-IDF, word embeddings, sequence models, transformers"
"9","A/B тесты","Принципы A/B тестирования, статистическая значимость, p-value, ошибки первого/второго рода"
"10","Validation","Методы валидации моделей: train/test split, кросс-валидация, подбор гиперпараметров"
"11","Production","Инструменты для продакшн-окружения: Docker, деплой моделей, мониторинг"
"12","DL Computer Vision (CV)","Основы компьютерного зрения: CNN, padding, pooling, архитектуры ResNet/VGG"
"13","DL LLM","Large Language Models: архитектуры, fine-tuning, использование в задачах NLP"
"14","Feature Engineering","Создание и трансформация признаков: binning, encoding, генерация и отбор признаков"
"15","MLOps","CI/CD для ML, MLflow, DVC, пайплайны, управление версиями моделей и данных"
"16","Product & Business Metrics","Метрики моделей и продуктов: precision/recall vs бизнес-цель, интерпретация результатов"
"17","Math","Алгебра, анализ, линейная алгебра, комбинаторика, логика; задачи от базовых до продвинутых техник решения"
"18","Statistics & Probability","Дескриптивная статистика, вероятности, распределения, оценивание, доверительные интервалы, гипотезы и тесты"
