topic_id,name,description
1,"Базовый SQL","SELECT, WHERE, GROUP BY, HAVING, ORDER BY – основы запросов"
2,"Подзапросы","Коррелированные и некоррелированные подзапросы, вложенные SELECT"
3,"Соединения (JOIN)","INNER, LEFT, RIGHT, FULL, CROSS JOIN и их использование"
4,"Индексы и оптимизация запросов","Виды индексов, EXPLAIN ANALYZE, оптимизация производительности"
5,"Работа с JSONB и массивами","Использование JSONB, индексирование, работа с массивами в PostgreSQL"
6,"CTE и рекурсивные запросы","Common Table Expressions, WITH-запросы, рекурсивные CTE"
7,"Работа с временными данными","Форматы дат, TIMESTAMP, INTERVAL, работа с часовыми поясами"
8,"Ограничения и транзакции","CONSTRAINTS, ACID, уровни изоляции, управление транзакциями"
9,"PL/pgSQL и хранимые процедуры","Создание и использование хранимых процедур и функций"
10,"Партиционирование таблиц","Методы партиционирования, преимущества и ограничения"
11,"MVCC и блокировки","Многоверсионность, deadlocks, конкурентный доступ"
12,"EXPLAIN ANALYZE и оптимизация","Разбор плана выполнения запроса, анализ узких мест"
13,"Функции и агрегатные операции","Создание пользовательских функций, агрегатные функции, использование FILTER и GROUPING SETS"
14,"Оконные функции","Использование оконных функций (WINDOW FUNCTIONS) для выполнения сложных аналитических запросов"
15,"Проектирование базы данных","Нормализация, денормализация, формы нормализации, зависимости между таблицами"
